A009,A008,S020,X002,X003,X001,X051,E033,B008,S012,S003,COW_NUM,A165,A170,A173,X002_02,X002_02A,X002_02B,X002_03,X003R,X003R2,country_code,age,sex,cohort,health,happy,year
1,1,1982,1940,42,1,-4,10,-4,-4,840,2,1,9,4,-4,-4,-4,-4,3,2,840,42,1,1940,5,4,1982
3,1,1982,1954,28,1,-4,8,-4,-4,840,2,1,9,9,-4,-4,-4,-4,2,1,840,28,1,1954,3,4,1982
2,3,1982,1906,76,2,-4,9,-4,-4,840,2,2,7,1,-4,-4,-4,-4,6,3,840,76,2,1906,4,2,1982
1,1,1982,1961,21,1,-4,7,-4,-4,840,2,2,5,8,-4,-4,-4,-4,1,1,840,21,1,1961,5,4,1982
2,2,1982,1940,42,2,-4,9,-4,-4,840,2,1,7,7,-4,-4,-4,-4,3,2,840,42,2,1940,4,3,1982
3,2,1982,1940,42,1,-4,-1,-4,-4,840,2,2,8,1,-4,-4,-4,-4,3,2,840,42,1,1940,3,3,1982
2,2,1982,1957,25,1,-4,5,-4,-4,840,2,1,5,5,-4,-4,-4,-4,2,1,840,25,1,1957,4,3,1982
4,2,1982,1926,56,2,-4,9,-4,-4,840,2,2,10,10,-4,-4,-4,-4,5,3,840,56,2,1926,2,3,1982
3,1,1982,1953,29,2,-4,7,-4,-4,840,2,2,3,7,-4,-4,-4,-4,2,1,840,29,2,1953,3,4,1982
1,1,1982,1962,20,2,-4,9,-4,-4,840,2,2,10,10,-4,-4,-4,-4,1,1,840,20,2,1962,5,4,1982
2,2,1982,1953,29,2,-4,3,-4,-4,840,2,2,6,7,-4,-4,-4,-4,2,1,840,29,2,1953,4,3,1982
2,2,1982,1939,43,2,-4,-1,-4,-4,840,2,2,8,7,-4,-4,-4,-4,3,2,840,43,2,1939,4,3,1982
3,3,1982,1964,18,2,-4,6,-4,-4,840,2,2,3,4,-4,-4,-4,-4,1,1,840,18,2,1964,3,2,1982
3,2,1982,1963,19,1,-4,8,-4,-4,840,2,2,7,6,-4,-4,-4,-4,1,1,840,19,1,1963,3,3,1982
3,1,1982,1928,54,1,-4,10,-4,-4,840,2,2,10,10,-4,-4,-4,-4,4,3,840,54,1,1928,3,4,1982
2,2,1982,1959,23,1,-4,10,-4,-4,840,2,2,10,10,-4,-4,-4,-4,1,1,840,23,1,1959,4,3,1982
3,2,1982,1929,53,1,-4,7,-4,-4,840,2,1,9,8,-4,-4,-4,-4,4,3,840,53,1,1929,3,3,1982
4,3,1982,-5,-5,1,-4,6,-4,-4,840,2,2,5,10,-4,-4,-4,-4,-5,-5,840,-5,1,-5,2,2,1982
5,3,1982,1936,46,2,-4,10,-4,-4,840,2,2,5,5,-4,-4,-4,-4,4,2,840,46,2,1936,1,2,1982
3,2,1982,1919,63,2,-4,10,-4,-4,840,2,2,10,8,-4,-4,-4,-4,5,3,840,63,2,1919,3,3,1982
1,1,1982,1948,34,2,-4,7,-4,-4,840,2,-1,1,-1,-4,-4,-4,-4,2,2,840,34,2,1948,5,4,1982
2,2,1982,1926,56,2,-4,-1,-4,-4,840,2,1,7,4,-4,-4,-4,-4,5,3,840,56,2,1926,4,3,1982
1,2,1982,1956,26,1,-4,9,-4,-4,840,2,2,10,-1,-4,-4,-4,-4,2,1,840,26,1,1956,5,3,1982
3,3,1982,1953,29,1,-4,5,-4,-4,840,2,2,8,9,-4,-4,-4,-4,2,1,840,29,1,1953,3,2,1982
3,2,1982,1939,43,1,-4,5,-4,-4,840,2,2,5,4,-4,-4,-4,-4,3,2,840,43,1,1939,3,3,1982
3,1,1982,1953,29,2,-4,5,-4,-4,840,2,1,10,9,-4,-4,-4,-4,2,1,840,29,2,1953,3,4,1982
3,1,1982,1948,34,2,-4,3,-4,-4,840,2,1,8,7,-4,-4,-4,-4,2,2,840,34,2,1948,3,4,1982
2,1,1982,1932,50,1,-4,-1,-4,-4,840,2,2,9,5,-4,-4,-4,-4,4,3,840,50,1,1932,4,4,1982
1,2,1982,1948,34,1,-4,5,-4,-4,840,2,2,8,5,-4,-4,-4,-4,2,2,840,34,1,1948,5,3,1982
3,2,1982,1919,63,2,-4,-1,-4,-4,840,2,2,8,6,-4,-4,-4,-4,5,3,840,63,2,1919,3,3,1982
3,1,1982,1949,33,1,-4,6,-4,-4,840,2,1,10,8,-4,-4,-4,-4,2,2,840,33,1,1949,3,4,1982
4,-1,1982,1962,20,1,-4,5,-4,-4,840,2,2,10,1,-4,-4,-4,-4,1,1,840,20,1,1962,2,6,1982
2,2,1982,1951,31,1,-4,6,-4,-4,840,2,2,7,6,-4,-4,-4,-4,2,2,840,31,1,1951,4,3,1982
1,2,1982,1964,18,1,-4,7,-4,-4,840,2,1,6,7,-4,-4,-4,-4,1,1,840,18,1,1964,5,3,1982
1,1,1982,1957,25,2,-4,5,-4,-4,840,2,2,10,10,-4,-4,-4,-4,2,1,840,25,2,1957,5,4,1982
1,1,1982,1940,42,1,-4,4,-4,-4,840,2,1,10,10,-4,-4,-4,-4,3,2,840,42,1,1940,5,4,1982
