year,trust,sex,age,partyid,wrkstat,happy,degree,realinc,health,life,satfin,polviews,educ
1972,2,2,52,1,7,2,0,30458,2,NA,2,NA,10
1972,2,1,40,1,1,2,0,37226,1,NA,2,NA,7
1972,1,1,48,1,1,2,1,43994,2,NA,1,NA,14
1972,2,2,47,1,7,2,0,50763,3,NA,1,NA,6
1972,3,1,31,0,1,1,1,37226,1,NA,1,NA,14
1972,3,1,21,1,6,2,1,2707,2,NA,2,NA,13
1972,2,2,84,0,5,3,0,2707,4,NA,3,NA,8
1972,2,2,61,0,5,2,0,2707,3,NA,2,NA,9
1972,2,2,46,0,1,2,1,2707,2,NA,3,NA,13
1972,2,2,39,0,1,3,3,13537,2,NA,3,NA,16
1972,2,2,64,0,2,2,0,2707,2,NA,2,NA,11
1972,1,1,77,0,2,2,0,2707,4,NA,1,NA,4
1972,2,1,25,7,4,2,1,8122,1,NA,2,NA,14
1972,2,1,53,1,1,2,0,13537,2,NA,2,NA,7
1972,2,1,52,0,1,2,0,24366,2,NA,1,NA,10
1972,2,1,71,1,5,2,0,8122,3,NA,2,NA,6
1972,1,1,52,1,1,1,0,30458,2,NA,1,NA,8
1972,1,1,57,1,1,1,0,24366,2,NA,2,NA,7
1972,1,2,69,1,7,1,0,13537,2,NA,2,NA,8
1972,1,2,74,1,7,2,0,8122,3,NA,3,NA,9
1972,1,2,58,3,7,2,1,18951,3,NA,2,NA,12
1972,2,2,23,5,7,1,1,18951,2,NA,2,NA,12
1972,2,2,61,6,7,1,0,13537,3,NA,2,NA,8
1972,2,2,60,5,7,2,0,2707,3,NA,2,NA,11
1972,2,2,36,1,7,2,0,8122,2,NA,2,NA,8
1972,1,1,58,6,1,2,4,24366,2,NA,1,NA,17
1972,1,1,28,6,2,2,0,2707,2,NA,2,NA,4
1972,1,1,29,5,4,3,0,8122,2,NA,2,NA,2
1972,2,1,25,6,2,1,0,24366,2,NA,1,NA,11
1972,1,1,57,2,1,2,1,30458,3,NA,2,NA,12
1972,1,2,26,2,7,1,1,NA,1,NA,2,NA,12
1972,2,1,55,0,1,2,0,24366,2,NA,1,NA,11
1972,2,2,29,1,1,1,3,24366,2,NA,2,NA,17
1972,2,2,68,6,5,1,0,NA,2,NA,2,NA,7
1972,2,2,18,1,6,1,1,NA,2,NA,1,NA,12
1972,2,1,49,0,1,2,0,30458,2,NA,1,NA,10
1972,1,1,64,1,5,1,1,13537,3,NA,1,NA,12
1972,1,1,38,1,1,2,1,43994,2,NA,1,NA,12
1972,2,1,30,3,1,2,0,30458,1,NA,2,NA,9
1972,2,2,56,5,5,2,0,NA,3,NA,2,NA,10
1972,2,2,20,1,1,2,1,37226,3,NA,3,NA,12
1972,2,1,19,2,2,2,1,30458,2,NA,2,NA,12
1972,2,2,50,1,7,1,0,18951,3,NA,3,NA,9
1972,3,1,38,3,6,1,1,60915,2,NA,2,NA,14
1972,2,2,64,4,7,2,1,13537,2,NA,3,NA,12
1972,2,2,74,5,7,3,0,18951,3,NA,2,NA,11
