year,cohort,age,health,sex,happy,life,educ,polviews,class,satfin
1972,1911,61,2,2,2,NA,12,NA,3,1
1972,1910,62,3,2,1,NA,11,NA,1,1
1972,1943,29,2,1,1,NA,19,NA,3,2
1972,1945,27,1,1,2,NA,16,NA,3,2
1972,1928,44,2,2,2,NA,12,NA,2,2
1972,1928,44,1,1,1,NA,12,NA,2,2
1972,1938,34,2,2,3,NA,12,NA,2,1
1972,1949,23,1,1,1,NA,11,NA,2,2
1972,1914,58,2,2,2,NA,12,NA,2,2
1972,1948,24,1,1,1,NA,16,NA,3,1
1972,1938,34,2,2,1,NA,11,NA,2,1
1972,1930,42,3,2,1,NA,12,NA,2,1
1972,1940,32,1,2,1,NA,12,NA,2,3
1972,1920,52,4,1,2,NA,7,NA,1,3
1972,1950,22,2,2,2,NA,12,NA,2,2
1972,1937,35,1,2,3,NA,10,NA,1,2
1972,1927,45,3,1,3,NA,14,NA,2,3
1972,1942,30,2,2,1,NA,10,NA,1,2
1972,1937,35,4,2,1,NA,9,NA,1,3
1972,1936,36,1,1,1,NA,8,NA,2,1
1972,1915,57,3,1,1,NA,8,NA,3,2
1972,1944,28,2,1,2,NA,17,NA,3,1
1972,1930,42,2,2,1,NA,16,NA,2,1
1972,1949,23,1,2,2,NA,12,NA,2,3
1972,1919,53,2,2,3,NA,15,NA,3,3
1972,1950,22,1,1,1,NA,12,NA,4,1
1972,1912,60,3,1,2,NA,12,NA,2,3
1972,1916,56,1,1,1,NA,12,NA,2,1
1972,1948,24,2,1,2,NA,15,NA,2,3
1972,1946,26,1,1,2,NA,12,NA,2,2
1972,1917,55,2,2,3,NA,13,NA,2,2
1972,1952,20,1,2,1,NA,13,NA,3,2
1972,1942,30,2,1,1,NA,12,NA,3,2
1972,1946,26,2,2,2,NA,14,NA,3,2
1972,1936,36,2,2,2,NA,12,NA,2,2
1972,1930,42,2,2,2,NA,11,NA,3,2
1972,1944,28,2,1,2,NA,16,NA,3,2
1972,1918,54,1,1,1,NA,12,NA,3,1
1972,1923,49,3,1,1,NA,12,NA,3,1
1972,1942,30,1,2,1,NA,12,NA,3,2
1972,1932,40,2,2,1,NA,16,NA,3,2
1972,1917,55,2,1,1,NA,12,NA,2,2
1972,1898,74,4,1,3,NA,6,NA,1,2
1972,1924,48,2,1,3,NA,8,NA,2,3
1972,1909,63,3,2,2,NA,12,NA,2,3
1972,1900,72,3,1,1,NA,10,NA,1,2
1972,1942,30,1,2,2,NA,11,NA,3,1
1972,1894,78,3,2,2,NA,8,NA,2,1
1972,1928,44,2,2,1,NA,8,NA,2,1
1972,1924,48,2,1,2,NA,13,NA,3,2
1972,1943,29,1,2,3,NA,12,NA,2,1
