S003,COUNTRY_ALPHA,COW_NUM,COW_ALPHA,S012,S001,S022,S023,X003,X001,X002,S020,A009,A008,year,year2,country_code,age,sex,cohort,health,happy
840,USA,2,USA,-4,2,199509,199512,47,2,1947,1995,2,3,1995,1995,840,47,2,1947,4,2
840,USA,2,USA,-4,2,199509,199512,41,2,1954,1995,3,2,1995,1995,840,41,2,1954,3,3
840,USA,2,USA,-4,2,199509,199512,32,1,1963,1995,2,1,1995,1995,840,32,1,1963,4,4
840,USA,2,USA,-4,2,199509,199512,26,1,1969,1995,1,2,1995,1995,840,26,1,1969,5,3
840,USA,2,USA,-4,2,199509,199512,49,2,1946,1995,2,2,1995,1995,840,49,2,1946,4,3
840,USA,2,USA,-4,2,199509,199512,38,2,1956,1995,2,1,1995,1995,840,38,2,1956,4,4
840,USA,2,USA,-4,2,199509,199512,76,2,1919,1995,4,1,1995,1995,840,76,2,1919,2,4
840,USA,2,USA,-4,2,199509,199512,30,1,1965,1995,1,2,1995,1995,840,30,1,1965,5,3
840,USA,2,USA,-4,2,199509,199512,66,1,1929,1995,1,1,1995,1995,840,66,1,1929,5,4
840,USA,2,USA,-4,2,199509,199512,34,1,1961,1995,1,2,1995,1995,840,34,1,1961,5,3
840,USA,2,USA,-4,2,199509,199512,53,2,1942,1995,4,4,1995,1995,840,53,2,1942,2,1
840,USA,2,USA,-4,2,199509,199512,61,1,1934,1995,2,1,1995,1995,840,61,1,1934,4,4
840,USA,2,USA,-4,2,199509,199512,47,1,1948,1995,2,1,1995,1995,840,47,1,1948,4,4
840,USA,2,USA,-4,2,199509,199512,67,2,1928,1995,1,1,1995,1995,840,67,2,1928,5,4
840,USA,2,USA,-4,2,199509,199512,31,2,1964,1995,1,1,1995,1995,840,31,2,1964,5,4
840,USA,2,USA,-4,2,199509,199512,36,1,1959,1995,2,1,1995,1995,840,36,1,1959,4,4
840,USA,2,USA,-4,2,199509,199512,23,1,1972,1995,1,1,1995,1995,840,23,1,1972,5,4
840,USA,2,USA,-4,2,199509,199512,44,2,1951,1995,1,2,1995,1995,840,44,2,1951,5,3
840,USA,2,USA,-4,2,199509,199512,48,1,1947,1995,1,2,1995,1995,840,48,1,1947,5,3
840,USA,2,USA,-4,2,199509,199512,48,1,1947,1995,2,2,1995,1995,840,48,1,1947,4,3
840,USA,2,USA,-4,2,199509,199512,45,2,1950,1995,2,1,1995,1995,840,45,2,1950,4,4
840,USA,2,USA,-4,2,199509,199512,72,1,1923,1995,3,1,1995,1995,840,72,1,1923,3,4
840,USA,2,USA,-4,2,199509,199512,25,2,1970,1995,2,2,1995,1995,840,25,2,1970,4,3
840,USA,2,USA,-4,2,199509,199512,25,1,1969,1995,1,2,1995,1995,840,25,1,1969,5,3
840,USA,2,USA,-4,2,199509,199512,24,1,1971,1995,1,2,1995,1995,840,24,1,1971,5,3
840,USA,2,USA,-4,2,199509,199512,20,2,1975,1995,2,2,1995,1995,840,20,2,1975,4,3
840,USA,2,USA,-4,2,199509,199512,68,2,1926,1995,2,2,1995,1995,840,68,2,1926,4,3
840,USA,2,USA,-4,2,199509,199512,23,1,1972,1995,3,1,1995,1995,840,23,1,1972,3,4
840,USA,2,USA,-4,2,199509,199512,34,1,1961,1995,1,2,1995,1995,840,34,1,1961,5,3
840,USA,2,USA,-4,2,199509,199512,21,1,1974,1995,2,2,1995,1995,840,21,1,1974,4,3
840,USA,2,USA,-4,2,199509,199512,70,2,1925,1995,3,1,1995,1995,840,70,2,1925,3,4
840,USA,2,USA,-4,2,199509,199512,65,2,1930,1995,2,1,1995,1995,840,65,2,1930,4,4
840,USA,2,USA,-4,2,199509,199512,37,1,1957,1995,1,2,1995,1995,840,37,1,1957,5,3
840,USA,2,USA,-4,2,199509,199512,26,2,1969,1995,2,1,1995,1995,840,26,2,1969,4,4
